source;target
ali73724440;NA
_wunderwood_;NA
LZsandVl;NA
AmericaOnePod;NA
westernwalking;NA
meganismrsspaz;NA
Moviewatcher21;NA
LinSooMoon;NA
ROB_ENGLAND_;NA
Micropan44;NA
thpuzzler2;NA
Hugo02208621;NA
beckner_susan;NA
DebbieScarboro6;NA
jayoung1892;NA
IAmSophiaNelson;NA
susan_ehsani;NA
RLeePip;NA
AfD_waehlen;NA
imondex;NA
mflew2;NA
Johnny79583166;NA
Lizzie59293400;NA
dddoc_blogger;NA
christopherpvlk;NA
kmb_is;NA
lillianjaneneal;NA
bigblackdogs;NA
PhilippeMange;NA
robend48;NA
mimisooner;NA
JuStJeNn45;NA
lucieboots;NA
HHomeandHearth;NA
byronwhite13;NA
jeremylasanta;NA
L85A1SG550;NA
ClassicTBs;NA
rllygoodenergy;NA
lexeighn;NA
pedrebano;NA
leileiuwu1;NA
maryloupatey;NA
olegGD;NA
uhwhat2020;NA
socalscootergal;NA
TerryMa47687742;NA
PornStarFever;NA
fatwoman007;NA
incommunicardo;NA
exokingkai;NA
lindyqb5;NA
PepeNewsNow;NA
AKW597;NA
LgLgLggg;NA
JesusIsKing4Me;NA
Old78795631;NA
MinusTheLife;NA
happyumisan;NA
BonnieHasty;NA
guitarbazz;NA
1965_whitegirl;NA
karenakahn;NA
its_me_joshuaG;NA
MockTheRightv4;NA
wetheno17415439;NA
America_45_2020;NA
jocve;NA
cbinflux;NA
Moonie3474;NA
LateMo_on;NA
BeNonHuman;NA
MazbeauBeau22;NA
PCtoListento;NA
LJCH97929168;NA
islesnd;NA
Raja1asi;NA
JoAnn99167659;NA
elavoie;NA
islesnd;NA
ashleyefitzger1;NA
safrazie;NA
islesnd;NA
BenstksC;NA
GE0RGE_I;NA
Kenneth_Bartlet;NA
hautesavings;NA
salsapockbill24;NA
jiz1ep;NA
1Corinthians126;NA
petercsou;NA
MrsKrichel;NA
1Corinthians126;NA
Kenneth_Bartlet;NA
meganismrsspaz;NA
mandywarhol;NA
LotsoforHK;NA
AToulmonde;NA
abc4utah;NA
HooMacon;NA
valwayne;NA
Kings58583491;NA
Dry_Observer;NA
MagnoliaPrince5;NA
ArlynHaaland;NA
kersey_maureen;NA
1776Libertarian;NA
CryptoViewing;NA
BenWinslow;NA
CertifiedPK;NA
HamlettCaleb73;NA
TankesmedjanX7;NA
dan_martn;NA
GOP_USA5;NA
DavidGe11188955;NA
FairGoM8;NA
margie14322442;NA
snidekick;NA
CesarMarty85;NA
akuzitan1;NA
LukeDyer1997;NA
ChronoLuminaire;NA
annhit2020;NA
therealpattip20;NA
joshual1980;NA
madrynha2012;NA
cilledwithakiss;NA
Nettoss;NA
EllisMiellis;NA
ayawill;NA
cricket_truth;NA
OblanderGroup;NA
Vickey72196268;NA
SystemsXotic;NA
Trumper60869477;NA
Ameg24;NA
BotShmot;NA
KingdomRising1;NA
ReneaBae90;NA
ChowaPt;NA
Karan52605911;NA
EibbedNosredna;NA
_leebret;NA
yojanuary;NA
dlgalvezdcm;NA
44ICE;NA
11SBiase;NA
JJBurnam;NA
BigDonTee;NA
paularadell;NA
DianeRaine1;NA
risenranger;NA
NanHayworth;NA
PunkiBrenda;NA
tonetafoya;NA
scottfeee1776;NA
solidreturns;NA
SunnyG07947561;NA
gavinlmiller1;NA
Rosenchild;NA
2003815u_kazu;NA
Rosenchild;NA
JamesOinkygc;NA
_Presdent_Elect;NA
overmanwarrior;NA
GlenMillsABC4;NA
RobHalkides;NA
valwayne;NA
Vickey72196268;NA
HolsonbackRobin;NA
indisbelief2020;NA
MeedgeKnowsBest;NA
PatriciaSerdahl;NA
eigenbros;NA
mariadacunha18;NA
RemmingtonSig;NA
alex_west1994;NA
GigiCar45632112;NA
Sambandet;NA
ThisWooly;NA
ervster1;NA
albertobmas;NA
Idaho_Hopeful;NA
walkerglewis;NA
warriors_mom;NA
zest674;NA
Rose_Wilbur;NA
dlh0404;NA
Diego24x;NA
AnfernyHardawa1;NA
spenumatsa;NA
jamiearrington;NA
Kishidancho2;NA
hayesdavenport;NA
foxtrotfenris;NA
Kishidancho2;NA
PredsNC12;NA
pulliamore;NA
CovidKhan;NA
JoeLuca26181135;NA
BobDMob;NA
redevilone;NA
Kishidancho2;NA
BerthelsenArlen;NA
bryanhauer;NA
PrincessBibiRF_;NA
RichShepard3;NA
lmirone777;NA
Kishidancho2;NA
DaveChe04190672;NA
Hotrod4772;NA
Kishidancho2;NA
VanJones68;NA
AnneSuzel911;NA
gemdb1;NA
mil2sell;NA
NakariStorm;NA
Spdbmp93;NA
romekreza;NA
MB9v10proverbs;NA
yramsalkin;NA
MelBel_36;NA
dakp2017;NA
ae4ca;NA
racheal_steven;NA
sorrowen;NA
charleecapewell;NA
HeathFerris;NA
DaveChe04190672;NA
toracha7;NA
thedager7;NA
All_4_Free_Iran;NA
AleceaMaria;NA
Brandon38767560;NA
thinkblackink;NA
SalomnM;NA
ann79777158;NA
ChrtienBibliqu1;NA
Cerena27;NA
AnnaApp91838450;NA
giadro;NA
kuwon1124;NA
FrankFromDaBoot;NA
lmirone777;NA
DK31444461;NA
bbsquirt24;NA
34NenaSM;NA
d_iniguez;NA
HarlinSmith1;NA
dwatchnews;NA
PuddinPop12345;NA
traceyclark72;NA
chickilopiccolo;NA
TPMikeJ;NA
lilgirldutch;NA
MDomostoy;NA
mazie_jane;NA
slpenelope;NA
jude_1983;NA
_villa12_;NA
peartreemomma;NA
AlanBayer2;NA
losemarrp;NA
NotSure_MMXXIV;NA
sgb_63f;NA
jam63serenity;NA
HottiiNanako;NA
libertytrader17;NA
Heathermiz1634;NA
PinkBelgium;NA
ProudMadreof3;NA
War_Vikings;NA
adorbdeplorb;NA
TenouAlex;NA
JenniferStraay2;NA
ann79777158;NA
OzForLiberty;TedCruz
KJaymes3;NA
emctsprime;NA
tinaw720;NA
marcodif;NA
riddlesworld;NA
_Nibelungenlied;NA
loretta21934308;NA
tinaw720;NA
KiritoKirto;NA
fogjin79;NA
JohnnyCadilla19;NA
tinaw720;NA
MikeABot;NA
AlwaystrumpOrg;NA
Jakob_Glogauer;NA
sunmoss21;NA
EndTime_Eagle;NA
porsche5251;NA
mihai_mitrofan;NA
honya2honya2;NA
lsprelude;NA
iamdespicable1;NA
snowhit89628992;NA
Pepe_Farms;NA
AliciaMejia09;NA
Leo_at12;NA
ACLEDINFO;NA
MommyHooky;NA
SoGal1986;JoeBiden
jagsully;NA
BettyGe21345084;NA
TPMikeJ;NA
GODisloveALM;NA
ace2blue;NA
Stefani94460352;NA
DavidDykstra11;NA
ELNOTICIEROVISU;NA
BuzWeaver;NA
wolvesofamerica;NA
PaulPestreiff;NA
djchrisallen;NA
FenrirWolf26;NA
rxmax6;NA
Digital_Obsrvr;NA
setarehmihan;NA
ProssElizabeth;NA
ARCHPRIESTCAT;NA
Randitperry;NA
TankesmedjanX7;NA
thedoveness;NA
DavidGe11188955;NA
GotCoolTweets;NA
ejsuntan;NA
TFARhodeIsland;NA
AZGOP;NA
connielnash;NA
SirSethOfficia1;NA
miegong6;NA
peterbeta69;NA
iamdespicable1;NA
OldHippieDude1;NA
leofire13;NA
ringfreedom;NA
WhereLibertyD;NA
leofire13;NA
Flkrew;NA
USAforPatriots;NA
HAEScoach;NA
dave_paolucci;NA
jeffreyswills;NA
JeffCavallaro;NA
CharlesRannach1;NA
Pavoooo;NA
blueeyed_nurse;NA
_HierKommtAlex;NA
KimBarn1968;NA
pandafreakAk;NA
denizenvoice;NA
fernando_herreh;NA
CITRIPIO4;NA
DT121516;NA
mlakl8;NA
smap0909;NA
AxelBella1;NA
junesfox34;NA
SteveSm07749240;NA
apachemick;NA
BrusHalter;realDonaldtrump
208Juliet;NA
teacherinphilly;NA
Navigator712;NA
1Untergrund;NA
topduck90;NA
blakefifeinvest;NA
wtony_tony;NA
malgalo;NA
primfreak;NA
JohnDoe23845615;NA
SJSwaan;NA
margie14322442;NA
RachelM4JESUS;AlexWhite
CatalystIntelli;NA
JakeDenver6;NA
mariadacunha18;NA
61Rinaldi;NA
diane4truth;NA
CatalystIntelli;NA
TEXOTX;NA
mr_republican45;NA
WeEntered;NA
IlovetheUSA50;NA
zenya8;NA
TheRepublic__;NA
WeedsInto;NA
21Red_Rose;NA
leonid_yahoov;NA
jwhitley66;NA
abdul_okpanachi;NA
VickieCouch22;NA
PastorPaulK;NA
DancersDigs;NA
Horriyah;NA
JeannieBell71;NA
JamesFr67687183;NA
AfD_Muenster;NA
Amalia12868544;NA
oleRoddy;NA
PaulGao11;NA
makeugorgeous;NA
eng_louise;NA
Michael66971328;NA
2mstephane;kamalaharris
Mikesullivan_58;NA
cor424;NA
CarilyMyers;NA
kreik62;NA
DAulizia;NA
jan_sabin;NA
flaquet1;NA
LifeWalkDR;NA
winnlabs;NA
17_antidote;NA
Kane007;NA
JoylynnPursley;NA
world_news_eng;NA
General02001;NA
JPROSSER2;NA
Auburn1James;NA
TimSch_71;NA
MemeWiggins;NA
Jenxx95998236;NA
dfry72779078;NA
ming63791097;NA
mwmtalent;NA
KLA005;NA
ErnestG70270613;NA
Betticaa;NA
BRitzdorf;NA
AndrewW66619812;NA
glennbr80467751;NA
czsienna;NA
mb_hatch;NA
christopherpvlk;NA
mb_hatch;NA
nodogkisses;NA
MiltonMjseg76;NA
HillMac19;NA
bina_join;NA
AnonymousAda;NA
mb_hatch;NA
TheBaldingPoint;NA
purdylawfirm;NA
Tennis4Life2;NA
Devin_Quinn88;NA
LatinaChica213;NA
ompsobcr;NA
cstinem;NA
rosesantelli;NA
P98902472P;NA
a1zamora;NA
oUVm6EZamWp284e;NA
josephhan37;NA
vev2345;NA
newscomauHQ;NA
skye_magus;NA
Cattmutt;NA
danmedina9ball;NA
RAsfache;NA
Alenealms;NA
Martin912TP;NA
Pascal81632949;NA
ClareUMarlow;NA
realEricGarden;NA
TomApplebee;NA
4loriannpc;NA
australian;NA
blackpeopledata;NA
wlnva456;NA
PlsStandWithHK2;NA
JudithWebbMays;NA
alexcoheninla;NA
zoon134;NA
ICUAWitness;NA
stephydanko;NA
Salazar08608280;NA
theltgovernor;NA
Telma37313958;NA
JoyChgo;NA
AssRn007;NA
JustisDA;NA
lyneprimeau1;NA
FAITHFULTOUSA;NA
wkcarter2341;NA
AghdasiAfshin;NA
clarkdennycjoy1;NA
kmrowe1;NA
ZanaKingAuthor;NA
M24Miles;NA
HattricM;NA
rafikiass;NA
arlenegreg;NA
tranhtruy;NA
ericx777;NA
jobes_lori;NA
maniseku;NA
Ginsstarr;NA
kdittmar;NA
RDoctorD1;NA
cynthiaKilcrea1;NA
RBebic;NA
CyrilGiraud79;NA
thomrayne;NA
CarolAb25084572;NA
markper14065933;NA
ROSALVOSANTOS1;NA
oya106;NA
Rockette91;NA
AprilandFamily;NA
sma03934813;NA
Moana125;NA
MommaMiaMoments;NA
WiseDragon8;NA
Noree72507518;NA
tompete65;NA
Corona_Requiem;NA
Peter58855333;NA
MAGADukeB;NA
AkyssaIris;NA
Itrustmsm;NA
gbstraighttalk;NA
YesChadMan;NA
J_CMueller;NA
ZarathushtraBC;NA
BestLouisiana;NA
mtbeaches;NA
ferdinandeibl;NA
JamesOr56525348;NA
WiseDragon8;NA
khodaless;NA
mom4homeedu;NA
Discovery180;NA
pete_ulloa;NA
JakeLoose4;NA
Samuel18105433;NA
NguDianna;NA
cullengreen8;NA
DConfire25;NA
JosephFl7;NA
DAulizia;NA
AKowalski60;NA
NetheryDennis;NA
maarlotta;NA
RickLaw02195151;NA
maiersbrian1;NA
richardson07;NA
olayinka_joel;NA
therealbosman;NA
FunTeamReOli;NA
victorvr;NA
rebekah13242315;NA
marymel396;NA
sassy1ntn;NA
pN31GQUxrDoUKe6;NA
ktwood21;NA
KiritoKirto;NA
SenTedCruz;NA
mrcanning;NA
brahvere;NA
mantsig;NA
MEEKSVS;NA
Warm_Quilt;NA
RealFTRShow;NA
XxGLAMMAxX;NA
neilalpha;Riotafa
tonikwiemers;NA
DaviFalco10;NA
johnnyrand_ny;NA
Cane4life2;NA
iamdespicable1;NA
ExtinctCrisis;NA
TheRealJoeFlo;NA
curlybo2;NA
HKER5813;NA
Misoledad4;NA
gem55ini;NA
Ellen10504491;NA
GigiShapiroProd;NA
PoojaOnTV;NA
Discovery180;HillaryClinton
DenmarkRepent;NA
olayinka_joel;NA
poeboston;NA
Not_from_time;NA
aboxofchocolate;NA
HarlinSmith1;NA
NookNookkie;NA
zakyboi14;NA
PatriotRaccoon;NA
Maryybbeth00;NA
USAPerfectUnion;NA
andreinilla;Hasan
TWAICB;NA
AlexMFornal;NA
PCock45555111;NA
hjmo13;NA
TimD45357;NA
adv_project;NA
iliekmudkip;NA
JosephVrabec;NA
UsHelpingUs;NA
Lou1Brenda;NA
GMG19611;NA
ScrapzeiFN;NA
kyserdk_k;NA
SwoleKyloRen;NA
HeyNowayGo;NA
shiraghertner;NA
BettyLooper2;NA
fam_esparza;NA
DoodleNancy;NA
CarolaS90402049;NA
rturn332000;NA
zitrolibni;NA
SaraGomezAranci;NA
hibeekay_lee;NA
Tallyhohum;NA
BiancaJagger;NA
rocksingersnak2;NA
CODGOD87488250;NA
balkeyeston;NA
alexanderkellie;NA
